問題上,問題中,問題下,解答,識別文字,識別番号
過激派が,騒擾,を起こした。,そうじょう,騒擾そうじょう,25
,嚇怒,した顔で睨みつける。,かくど,嚇怒かくど,26
,汀渚,に野鳥が群れている。,ていしょ,汀渚ていしょ,27
,這般,の状勢により撤退を決定した。,しゃはん,這般しゃはん,28
,儲君,として厳格な教育を受ける。,ちょくん,儲君ちょくん,29
事件現場の近くで景観に,誰何,された。,すいか,誰何すいか,30
座布団にすわり,脇息,で体を支える。,きょうそく,脇息きょうそく,31
菩薩の,弘誓,は海のように広く深い。,ぐぜい,弘誓ぐぜい,32
天皇の,後胤,として大切にされる。,こういん,後胤こういん,33
敵陣突破に,快哉,を叫ぶ。,かいさい,快哉かいさい,34
,鶯遷,を祝い、宴会を催す。,おうせん,鶯遷おうせん,35
,壺中,の天に遊ぶ。,こちゅう,壺中こちゅう,36
,一揖,してその場を去った。,いちゆう,一揖いちゆう,37
両国の関係は,危殆,に瀕している。,きたい,危殆きたい,38
些細なことから,紛擾,した。,ふんじょう,紛擾ふんじょう,39
,釜中,の魚、絶体絶命だ。,ふちゅう,釜中ふちゅう,40
,上巳,は五節句の一つだ。,じょうし,上巳じょうし,41
,井蛙,大海を知らず。,せいあ,井蛙せいあ,42
,穆,として清風の如き人だ。,ぼく,穆ぼく,43
身分を越えた,杵臼,の交わりを持つ。,しょきゅう,杵臼しょきゅう,44
旅の宿で,灘響,を聞く。,だんきょう,灘響だんきょう,45
切手を,貼付,する。,ちょうふ,貼付ちょうふ,46
世界の,古諺,を比較する。,こげん,古諺こげん,47
,豪宕,な性格で一目おかれている。,ごうとう,豪宕ごうとう,48
彼を総裁として,推戴,する。,すいたい,推戴すいたい,49
積年の,怨念,を晴らす。,おんねん,怨念おんねん,50
,巽言,の重みに感服する。,そんげん,巽言そんげん,51
火事のため,烏有,に帰してしまった。,うゆう,烏有うゆう,52
生まれた子馬の,牝牡,を確かめる。,ひんぼ,牝牡ひんぼ,53
,謬言,を恥じて口をつぐむ。,びゅうげん,謬言びゅうげん,54
地域の,俗諺,を調べる。,ぞくげん,俗諺ぞくげん,79
案内役の,雛僧,。,すうそう,雛僧すうそう,80
,孜孜,として学問に励む。,しし,孜孜しし,81
時代を見抜く,慧眼,で危機を乗り切る。,けいがん,慧眼けいがん,82
この辺りは建物が,櫛比,している。,しっぴ,櫛比しっぴ,83
土地の,稗史,に興味がある。,はいし,稗史はいし,84
未だ父母の,膝下,に留まる。,しっか,膝下しっか,85
