問題,解答,選択肢,識別番号1,識別番号2,識別番号3
称賛,悪罵,あくば,2818,,
深淵,浅瀬,あさせ,1542,,
明朗,暗鬱,あんうつ,1512,,
聡明,暗愚,あんぐ,1534,,
危胎,安泰,あんたい,2761,,
懸念,安堵,あんど,1565,,
憂慮,安堵,あんど,3746,3980,
慰撫,威嚇,いかく,1444,,
軽侮,畏敬,いけい,1516,,
熟視,一瞥,いちべつ,1581,,
遵奉,違背,いはい,1514,,
軽侮,畏怖,いふ,1465,,
威嚇,慰撫,いぶ,1444,,
暴露,隠蔽,いんぺい,1558,,
卑近,迂遠,うえん,1470,,
直進,迂回,うかい,2794,2832,
賢明,迂愚,うぐ,3775,,
爽快,鬱屈,うっくつ,1606,,
捷径,迂路,うろ,2762,,
瞬間,永劫,えいごう,2765,,
刹那,永劫,えいごう,1538,,
仮寓,永住,えいじゅう,1609,,
愚昧,英明,えいめい,1493,3981,
恩愛,怨恨,えんこん,3748,,
楽天,厭世,えんせい,1541,,
枯渇,横溢,おういつ,3750,,
狭量,鷹揚,おうよう,2810,,
豪胆,臆病,おくびょう,1458,3765,
怨恨,恩愛,おんあい,3748,,
仇敵,恩人,おんじん,1490,,
明快,晦渋,かいじゅう,1536,,
痛恨,会心,かいしん,1607,,
必然,蓋然,がいぜん,2829,,
峻拒,快諾,かいだく,1509,,
蒙昧,該博,がいはく,2763,2817,
失墜,回復,かいふく,1437,,
野鳥,家禽,かきん,2842,,
永住,仮寓,かぐう,1609,,
催眠,覚醒,かくせい,1494,,
昏睡,覚醒,かくせい,2792,,
喪失,獲得,かくとく,2770,,
鎮撫,攪乱,かくらん,1461,,
優柔,果断,かだん,3767,,
死蔵,活用,かつよう,1563,,
峻厳,寛容,かにょう,1467,,
追従,諫言,かんげん,1443,,
真作,贋作,がんさく,1585,,
繁劇,閑散,かんさん,1557,,
放任,干渉,かんしょう,1518,,
脆弱,頑丈,がんじょう,1540,,
峻烈,寛大,かんだい,2813,,
挫折,貫徹,かんてつ,1464,,
喬木,灌木,かんぼく,2788,,
微賤,貴顕,きけん,3977,,
竣成,起工,きこう,4116,,
定石,奇手,きしゅ,1612,,
安泰,危胎,きたい,2761,,
真蹟,偽筆,ぎひつ,1555,,
悠悠,汲汲,きゅうきゅう,3751,,
平坦,急峻,きゅうしゅん,1582,,
恩人,仇敵,きゅうてき,1490,,
斬新,旧套,きゅうとう,2781,,
軟弱,強硬,きょうこう,3745,,
豊稔,凶荒,きょうこう,3776,,
瞥見,凝視,ぎょうし,1489,,
脆弱,強靱,きょうじん,1457,3747,
歪曲,匡正,きょうせい,2816,,
進捗,凝滞,ぎょうたい,2830,,
瑞祥,凶兆,きょうちょう,3769,,
灌木,喬木,きょうぼく,2788,,
大度,狭量,きょうりょう,1459,,
鷹揚,狭量,きょうりょう,2810,,
斜陽,旭日,きょくじつ,3773,,
悲傷,欣悦,きんえつ,1589,,
愁傷,欣快,きんかい,1614,,
莫大,僅少,きんしょう,1445,1510,
懸隔,近接,きんせつ,3754,,
弛緩,緊張,きんちょう,1488,,
聡明,愚鈍,ぐどん,4114,,
英明,愚昧,ぐまい,1493,3981,
聡明,愚昧,ぐまい,1588,,
畏怖,軽侮,けいぶ,1465,,
畏敬,軽侮,けいぶ,1516,,
冷静,激昂,げきこう,2839,,
痛罵,激賞,げきしょう,1605,,
安堵,懸念,けねん,1565,,
近接,懸隔,けんかく,3754,,
消沈,軒昂,けんこう,3774,,
伯仲,懸絶,けんぜつ,1608,,
平坦,険阻,けんそ,1539,4115,
静寂,喧騒,けんそう,1442,,
出家,還俗,げんぞく,1603,4112,
遁世,還俗,げんぞく,1586,,
剃髪,還俗,げんぞく,2815,,
迂愚,賢明,けんめい,3775,,
